0,,0
-7,,-0.000213623
-69,,-0.002105713
-129,,-0.003936768
23,,0.000701904
400,,0.012207031
357,,0.010894775
-1189,,-0.0362854
356,,0.010864258
407,,0.012420654
28,,0.000854492
-118,,-0.003601074
-60,,-0.001831055
4,,0.00012207
10,,0.000305176
0,,0
2,,6.10352E-05
3,,9.15527E-05
4,,0.00012207
2,,6.10352E-05
3,,9.15527E-05
4,,0.00012207
3,,9.15527E-05
5,,0.000152588
1,,3.05176E-05
2,,6.10352E-05
-4,,-0.00012207
-2,,-6.10352E-05
-4,,-0.00012207
-7,,-0.000213623
-8,,-0.000244141
-10,,-0.000305176
-11,,-0.000335693
-12,,-0.000366211
-14,,-0.000427246
-15,,-0.000457764
-16,,-0.000488281
-18,,-0.000549316
-18,,-0.000549316
-18,,
-16,,
-17,,
-17,,
-15,,
-15,,
-14,,
-12,,
-8,,
-12,,
-5,,
-6,,
0,,
-3,,
-1,,
0,,
0,,
2,,
3,,
4,,
2,,
3,,
4,,
3,,
5,,
1,,
2,,
-4,,
-2,,
-4,,
-7,,
-8,,
-10,,
-11,,
-12,,
-14,,
-15,,
-16,,
-18,,
-18,,
-18,,
-16,,
-17,,
-17,,
-15,,
-15,,
-14,,
-12,,
-8,,
-12,,
-5,,
-6,,
0,,
-3,,
-1,,
0,,
0,,
2,,
3,,
4,,
2,,
3,,
4,,
3,,
5,,
1,,
2,,
-4,,
-2,,
-4,,
-7,,
-8,,
-10,,
-11,,
-12,,
-14,,
-15,,
-16,,
-18,,
-18,,
-18,,
-16,,
-17,,
-17,,
-15,,
-15,,
-14,,
-12,,
-8,,
-12,,
-5,,
-6,,
0,,
-3,,
-1,,
0,,
0,,
2,,
3,,
4,,
2,,
3,,
4,,
3,,
5,,
1,,
2,,
-4,,
-2,,
-4,,
-7,,
-8,,
-10,,
-11,,
-12,,
-14,,
-15,,
-16,,
-18,,
-18,,
-18,,
-16,,
-17,,
-17,,
-15,,
-15,,
-14,,
-12,,
-8,,
-12,,
-5,,
-6,,
0,,
-3,,
-1,,
0,,
0,,
2,,
3,,
4,,
2,,
3,,
4,,
3,,
5,,
1,,
2,,
-4,,
-2,,
-4,,
-7,,
-8,,
-10,,
-11,,
-12,,
-14,,
-15,,
-16,,
-18,,
-18,,
-18,,
-16,,
-17,,
-17,,
-15,,
-15,,
-14,,
-12,,
-8,,
-12,,
-5,,
-6,,
0,,
-3,,
-1,,
0,,
0,,
2,,
3,,
4,,
2,,
3,,
4,,
3,,
5,,
1,,
2,,
-4,,
-2,,
-4,,
-7,,
-8,,
-10,,
-11,,
-12,,
-14,,
-15,,
-16,,
-18,,
-18,,
-18,,
-16,,
-17,,
-17,,
-15,,
-15,,
-14,,
-12,,
-8,,
-12,,
-5,,
-6,,
0,,
-3,,
-1,,
0,,
0,,
2,,
3,,
4,,
2,,
3,,
4,,
3,,
5,,
1,,
2,,
-4,,
-2,,
-4,,
-7,,
-8,,
-10,,
-11,,
-12,,
-14,,
-15,,
-16,,
-18,,
-18,,
-18,,
-16,,
-17,,
-17,,
-15,,
-15,,
-14,,
-12,,
-8,,
-12,,
-5,,
-6,,
0,,
-3,,
-1,,
0,,
0,,
2,,
3,,
4,,
2,,
3,,
4,,
3,,
5,,
1,,
2,,
-4,,
-2,,
-4,,
-7,,
-8,,
-10,,
-11,,
-12,,
-14,,
-15,,
-16,,
-18,,
-18,,
-18,,
-16,,
-17,,
-17,,
-15,,
-15,,
-14,,
-12,,
-8,,
-12,,
-5,,
-6,,
0,,
-3,,
-1,,
0,,
0,,
2,,
3,,
4,,
2,,
3,,
4,,
3,,
5,,
1,,
2,,
-4,,
-2,,
-4,,
-7,,
-8,,
-10,,
-11,,
-12,,
-14,,
-15,,
-16,,
-18,,
-18,,
-18,,
-16,,
-17,,
-17,,
-15,,
-15,,
-14,,
-12,,
-8,,
-12,,
-5,,
-6,,
0,,
-3,,
-1,,
0,,
0,,
2,,
3,,
4,,
2,,
3,,
4,,
3,,
5,,
1,,
2,,
-4,,
-2,,
-4,,
-7,,
-8,,
-10,,
-11,,
-12,,
-14,,
-15,,
-16,,
-18,,
-18,,
-18,,
